Date,Open,High,Low,Volume,Close
2/1/2023,$197 ,$212 ,$196 ,"$66,047,700 ",$209 
1/31/2023,$192 ,$197 ,$190 ,"$49,801,660 ",$195 
1/30/2023,$200 ,$201 ,$192 ,"$48,861,120 ",$192 
1/27/2023,$195 ,$206 ,$194 ,"$54,214,200 ",$204 
1/26/2023,$197 ,$202 ,$193 ,"$48,953,540 ",$198 
1/25/2023,$189 ,$194 ,$186 ,"$44,953,710 ",$193 
1/24/2023,$188 ,$195 ,$188 ,"$49,620,410 ",$193 
1/23/2023,$181 ,$192 ,$178 ,"$65,516,260 ",$192 
1/20/2023,$170 ,$179 ,$168 ,"$56,496,710 ",$178 
1/19/2023,$170 ,$172 ,$167 ,"$45,293,160 ",$168 
1/18/2023,$177 ,$179 ,$173 ,"$43,962,360 ",$174 
1/17/2023,$169 ,$177 ,$169 ,"$51,110,220 ",$177 
1/13/2023,$163 ,$169 ,$162 ,"$44,728,710 ",$169 
1/12/2023,$161 ,$166 ,$155 ,"$55,140,910 ",$165 
1/11/2023,$158 ,$160 ,$156 ,"$35,328,490 ",$160 
1/10/2023,$155 ,$160 ,$155 ,"$38,410,130 ",$159 
1/9/2023,$153 ,$161 ,$151 ,"$50,423,060 ",$156 
1/6/2023,$145 ,$150 ,$140 ,"$40,504,360 ",$149 
1/5/2023,$145 ,$146 ,$141 ,"$38,916,810 ",$143 
1/4/2023,$146 ,$149 ,$142 ,"$43,132,360 ",$147 
1/3/2023,$149 ,$150 ,$141 ,"$40,127,660 ",$143 
12/30/2022,$143 ,$146 ,$142 ,"$31,048,980 ",$146 
12/29/2022,$144 ,$147 ,$142 ,"$35,492,320 ",$146 
12/28/2022,$139 ,$143 ,$139 ,"$35,106,650 ",$140 
12/27/2022,$151 ,$151 ,$141 ,"$46,490,230 ",$141 
12/23/2022,$152 ,$153 ,$149 ,"$34,932,560 ",$152 
12/22/2022,$161 ,$161 ,$149 ,"$56,504,530 ",$153 
12/21/2022,$161 ,$166 ,$161 ,"$32,502,540 ",$165 
12/20/2022,$161 ,$163 ,$159 ,"$40,325,980 ",$161 
12/19/2022,$166 ,$166 ,$161 ,"$35,403,880 ",$163 
12/16/2022,$169 ,$170 ,$164 ,"$47,823,190 ",$166 
12/15/2022,$171 ,$173 ,$167 ,"$47,854,210 ",$170 
12/14/2022,$180 ,$183 ,$174 ,"$49,688,810 ",$177 
12/13/2022,$185 ,$188 ,$177 ,"$65,658,880 ",$181 
12/12/2022,$170 ,$175 ,$168 ,"$45,732,780 ",$175 
12/9/2022,$172 ,$176 ,$170 ,"$46,533,820 ",$170 
12/8/2022,$163 ,$172 ,$160 ,"$51,545,550 ",$172 
12/7/2022,$158 ,$162 ,$157 ,"$37,238,760 ",$161 
12/6/2022,$165 ,$166 ,$158 ,"$35,269,430 ",$160 
12/5/2022,$167 ,$170 ,$165 ,"$35,225,520 ",$166 
12/2/2022,$167 ,$169 ,$164 ,"$37,138,860 ",$169 
12/1/2022,$170 ,$173 ,$166 ,"$47,097,660 ",$171 
11/30/2022,$157 ,$169 ,$156 ,"$56,529,820 ",$169 
11/29/2022,$158 ,$159 ,$155 ,"$29,838,450 ",$156 
11/28/2022,$160 ,$164 ,$157 ,"$30,415,200 ",$158 
11/25/2022,$163 ,$165 ,$162 ,"$16,793,430 ",$163 
11/23/2022,$161 ,$165 ,$160 ,"$42,724,090 ",$165 
11/22/2022,$153 ,$161 ,$151 ,"$47,286,610 ",$160 
11/21/2022,$151 ,$155 ,$151 ,"$40,473,930 ",$153 
11/18/2022,$160 ,$160 ,$151 ,"$49,207,170 ",$154 
11/17/2022,$157 ,$163 ,$155 ,"$71,089,360 ",$157 
11/16/2022,$162 ,$164 ,$159 ,"$64,954,680 ",$159 
11/15/2022,$167 ,$170 ,$164 ,"$54,587,550 ",$167 
11/14/2022,$162 ,$165 ,$159 ,"$52,785,250 ",$163 
11/11/2022,$158 ,$164 ,$155 ,"$65,548,750 ",$163 
11/10/2022,$148 ,$158 ,$145 ,"$70,081,930 ",$158 
11/9/2022,$142 ,$142 ,$138 ,"$45,441,370 ",$138 
11/8/2022,$148 ,$149 ,$142 ,"$59,529,200 ",$146 
11/7/2022,$142 ,$144 ,$140 ,"$41,006,100 ",$143 
11/4/2022,$140 ,$142 ,$137 ,"$61,257,590 ",$142 
11/3/2022,$130 ,$138 ,$130 ,"$50,006,490 ",$134 
11/2/2022,$139 ,$142 ,$132 ,"$67,262,780 ",$132 
11/1/2022,$138 ,$139 ,$135 ,"$43,281,690 ",$135 
